id_cloud,algorithm,NPini,iter_max,D,F,CR,w,wdamp,c1,c2,Smin,Smax,exponent,sigma_initial,sigma_final,time,it,stop_condition,poserror_dist,poserror_avg,poserror_1,poserror_2,poserror_3,orierror_1,orierror_2,orierror_3
2,1,100,500,6,0.9,0.75,,,,,,,,,,148.134580373764,50,normal convergence,4.04648740106103,1.94270987030544,-2.43234951281569,3.22956803366764,-0.166212064432992,2.34773361406334,4.70495444903828,166.714579072254
3,1,100,500,6,0.9,0.75,,,,,,,,,,148.706201314926,50,normal convergence,8.74694321976262,3.64632615955408,-8.36098895907147,-2.56959312276409,0.00839639682667479,3.84592215324892,5.41489183756504,107.092224620353
4,1,100,500,6,0.9,0.75,,,,,,,,,,203.665634155273,50,normal convergence,0.0834198991870757,0.0359946759877251,-0.0808532004769287,-0.0187422203347975,0.00838860715144908,0.492260360541234,0.172519417034288,5.54279711453659
1,1,100,500,6,0.9,0.75,,,,,,,,,,179.410489320755,50,normal convergence,3.23756500152036,1.45129860492047,-2.92761108711344,1.38163933446749,-0.0446453931804793,5.36590807278734,2.23866176134856,167.39013201235
2,1,100,500,6,0.9,0.75,,,,,,,,,,169.089483261108,50,normal convergence,0.534589289636107,0.240831462134472,-0.480038332540684,0.235150015278334,0.0073060385843978,2.81866694373001,0.192441762364491,8.30045595292438
3,1,100,500,6,0.9,0.75,,,,,,,,,,169.343315124512,50,normal convergence,0.648052729369753,0.304991004946786,-0.386350806815051,-0.520225811198632,0.00839639682667479,3.56259684648824,1.30611674468383,5.83783308536579
4,1,100,500,6,0.9,0.75,,,,,,,,,,137.653327703476,50,normal convergence,5.93220714082594,2.68694351980175,-2.84933939845479,-5.203102553799,0.00838860715144908,1.81406998642725,5.65023561994082,179.40593287859
1,1,100,500,6,0.9,0.75,,,,,,,,,,257.761571407318,50,normal convergence,0.432048716048454,0.18320686405458,-0.128954434971075,0.412269750398146,0.0083964067945191,0.41197614212461,0.795236590474109,6.39111615139513
2,1,100,500,6,0.9,0.75,,,,,,,,,,137.269821166992,50,normal convergence,6.10063043906292,2.5337855579967,-5.87857420865903,-1.62822475954208,-0.0945577057889949,0.336758790163079,5.41490813921756,8.85564005575546
3,1,100,500,6,0.9,0.75,,,,,,,,,,139.533687114716,50,normal convergence,8.75016747684448,3.64290395601031,-8.36702642224539,-2.56091763489982,0.000767810885724418,0.224814980553738,5.08437845782204,106.346346961468
4,1,100,500,6,0.9,0.75,,,,,,,,,,191.076557636261,50,normal convergence,0.112412020592332,0.0405504487997687,-0.112212720891359,-0.00505384083143923,-0.00438478467650785,4.36822161378376,4.06325837927758,0.782549094443049
1,1,100,500,6,0.9,0.75,,,,,,,,,,184.38878941536,50,normal convergence,3.3933647264887,1.51006991200167,-3.09820936952348,1.3833495463082,-0.0486508201733351,4.65935661538488,0.937287691953616,170.663565346603
2,1,100,500,6,0.9,0.75,,,,,,,,,,152.408210754395,50,normal convergence,4.20135072443145,1.95602154716247,-2.43819329293048,3.42147495629977,0.00839639225715786,5.28429102769627,1.09272077292245,173.378201367284
3,1,100,500,6,0.9,0.75,,,,,,,,,,197.97327208519,50,normal convergence,0.629739197452153,0.29963368667942,-0.378365978358207,-0.503096964097268,-0.0174381175827855,3.62725135104976,1.64491027389005,5.09711903045451
4,1,100,500,6,0.9,0.75,,,,,,,,,,136.920726299286,50,normal convergence,5.92640529981591,2.68508490719251,-2.85164334117888,-5.1952227732472,0.00838860715144908,1.77866527429897,5.65023561994082,179.40593287859
1,1,100,500,6,0.9,0.75,,,,,,,,,,161.354827880859,50,normal convergence,3.28643794094118,1.43386862319477,-3.03126711012304,1.26968248631284,0.000656273148429744,0.682332036275256,3.0338844598792,172.316151517214
2,1,100,500,6,0.9,0.75,,,,,,,,,,113.298502445221,50,normal convergence,4.74115935380021,1.72542242853868,4.71977839457727,-0.449708743305656,0.00678014773310045,3.39095626846405,0.496740551542202,79.1807161739559
3,1,100,500,6,0.9,0.75,,,,,,,,,,139.035231351852,50,normal convergence,8.74886083236903,3.64699486334201,-8.36299507043528,-2.56959312276409,0.00839639682667479,3.09056913939893,5.41489183756504,106.290594180679
